,time,apparent_temperature_max (°C),precipitation_sum (mm)
335,2012-12-01,3.3,0.0
336,2012-12-02,5.7,0.0
337,2012-12-03,7.3,0.0
338,2012-12-04,8.5,0.0
339,2012-12-05,6.0,0.0
340,2012-12-06,5.2,0.0
341,2012-12-07,8.3,3.1
342,2012-12-08,7.3,0.0
343,2012-12-09,6.9,0.0
344,2012-12-10,4.1,0.0
345,2012-12-11,7.3,0.0
346,2012-12-12,4.6,0.0
347,2012-12-13,3.6,1.0
348,2012-12-14,8.1,4.6
349,2012-12-15,9.7,0.6
350,2012-12-16,9.7,0.0
351,2012-12-17,10.7,0.0
352,2012-12-18,7.1,0.6
353,2012-12-19,8.4,0.0
354,2012-12-20,10.6,0.2
355,2012-12-21,13.0,0.0
356,2012-12-22,11.5,0.0
357,2012-12-23,11.8,0.0
358,2012-12-24,10.6,0.0
359,2012-12-25,8.8,1.4
360,2012-12-26,8.7,0.0
361,2012-12-27,6.0,0.0
362,2012-12-28,9.8,0.0
363,2012-12-29,4.5,0.0
364,2012-12-30,5.6,0.0
365,2012-12-31,2.4,1.4
366,2013-01-01,8.0,2.6
367,2013-01-02,6.8,0.0
368,2013-01-03,9.0,0.0
369,2013-01-04,10.0,0.0
370,2013-01-05,10.8,0.0
371,2013-01-06,9.2,0.0
372,2013-01-07,4.7,0.0
373,2013-01-08,2.2,0.0
374,2013-01-09,2.1,0.0
375,2013-01-10,10.8,0.0
376,2013-01-11,6.3,0.0
377,2013-01-12,6.5,1.3
378,2013-01-13,3.7,2.7
379,2013-01-14,4.6,0.0
380,2013-01-15,6.3,0.0
381,2013-01-16,5.7,3.7
382,2013-01-17,9.0,0.1
383,2013-01-18,10.6,0.2
384,2013-01-19,6.5,17.2
385,2013-01-20,3.1,0.8
386,2013-01-21,4.0,0.2
387,2013-01-22,0.2,3.2
388,2013-01-23,2.5,1.5
389,2013-01-24,6.2,0.2
390,2013-01-25,7.8,0.0
391,2013-01-26,12.8,0.0
392,2013-01-27,5.9,3.3
393,2013-01-28,8.6,0.0
394,2013-01-29,8.7,0.0
395,2013-01-30,11.0,0.0
396,2013-01-31,13.0,0.0
397,2013-02-01,11.2,0.2
398,2013-02-02,7.2,0.0
399,2013-02-03,5.1,0.0
